patent_no,title,
4844864,"Precipitation hardenable, nickel-base alloy",
4844738,Carbide-dispersed type Fe-base sintered alloy excellent in wear resistance,
4844024,Heat resistant and wear resistant iron-base sintered alloy,
4843856,Method of forging dual alloy billets,
4842973,Vacuum deposition of selenium alloy,
4842822,Aluminum-lithium alloy and method of investment casting an aluminum-lithium alloy,
4842652,Method for improving fracture toughness of high strength titanium alloy,
4840852,Aluminum alloy vehicular member,
4840768,Austenitic Fe-Cr-Ni alloy designed for oil country tubular products,
4840685,Aluminum alloy for the substrate of magnetic disk,
4840665,Wear-resistant sintered iron-based alloy and process for producing the same,
4840302,Chromium-titanium alloy,
4839486,Microwave oven damper mechanism activated by a shape memory alloy,
4839479,Article using shape-memory alloy to improve and/or control the speed of recovery,
4839237,"Method of laying a cobalt-chromium-tungsten protective coating on a blade made of a tungsten alloy including vanadium, and a blade coated thereby",
4838959,Method for manufacturing high strength copper alloy wire,
4838958,Aluminum-alloy rolled sheet and production method therefor,
4838936,Forged aluminum alloy spiral parts and method of fabrication thereof,
H633,Method of predicting ductility of a metallic cast eutectic alloy and equation therefor,
4837389,Composite alloy structures,
4837375,Method for producing green salt (UF.sub.4) from uranium and uranium alloy pieces,
4837094,Oxygen-containing ferromagnetic amorphous alloy and method of preparing the same,
4837091,Diffusion alloy steel foil,
4836985,Ni-Cr-Fe corrosion resistant alloy,
4836863,Wrought material of aluminum alloy to be anodized gray and process for making the same,
4836849,Oxidation resistant niobium alloy,
4836848,Fe-based sintered alloy for valve seats for use in internal combustion engines,
4834942,Elevated temperature aluminum-titanium alloy by powder metallurgy process,
4834941,Heat-resisting high-strength Al-alloy and method for manufacturing a structural member made of the same alloy,
4834857,Neutral sputtered films of metal alloy oxides,
4834845,Preparation of Zn-Ni alloy plated steel strip,
4834813,Wear-resistant alloy of high permeability and methods of producing the same,
4833101,Method of growing quaternary or pentanary alloy semiconductor lattice-matched to substrate by MBE,
4833041,Corrosion/wear-resistant metal alloy coating compositions,
4832993,"Method of applying a protective coating to a titanium alloy blade, and a blade obtained thereby",
4832982,Laser process for forming dispersion alloy layer from powder on metallic base,
4832912,Thermal and wear resistant tough alloy,
4832908,Low thermal expansion cast alloy,
4832907,Process for producing tungsten heavy alloy sheet,
4832810,Co-based alloy sputter target and process of manufacturing the same,
4832801,Method of making overlay alloy used for a surface layer of sliding material,
4832765,Duplex alloy,
4832741,Powder-metallurgical process for the production of a green pressed article of high strength and of low relative density from a heat-resistant aluminum alloy,
4832737,High temperature-resistant aluminum alloy and process for its production,
4831918,Light alloy pistons with reinforcing inserts for the piston pin bores,
4830934,Alloy powder mixture for treating alloys,
4830932,Heat resistant light alloy articles and method of manufacturing same,
4830930,Surface-refined sintered alloy body and method for making the same,
4830829,Conversion of aluminum-mercury amalgam and incidental mercury in contact with aluminum alloy surfaces to harmless compounds,
4830825,Corrosion-resistant copper alloy,
4830824,Dental alloy castings and method,
4830823,Dental titanium alloy castings,
4830685,Wear-resistant alloy of high permeability and method of producing the same,
4830679,Heat-resistant Ni-base single crystal alloy,
4830083,Mold material and process for casting of pure titanium or titanium alloy,
4828936,Aluminum alloy sheet excellent in high-temperature sagging resistance and sacrificial anode property and having high room-temperature strength,
4828793,Method to produce titanium alloy articles with high fatigue and fracture resistance,
4828657,"Method for production of tin-cobalt, tin-nickel, or tin-lead binary alloy electroplating bath and electroplating bath produced thereby",
4828631,High strength aluminum alloy resistant to exfoliation and method of making,
4828495,Sintered alloy dental prosthetic devices and method,
4827707,Zinc alloy body for braiding machine carrier,
4826737,Method of using aluminum alloy as substrate for magnetic discs with enhanced magnetic recording density,
4824737,Tin-lead alloy coated material,
4824735,Casting transition metal alloy containing rare earth metal,
4824638,Corrosion resistant alloy,
4824637,Alloy phase stability index diagram,
4824494,Aluminum-based alloy foil for negative electrodes of electrolytic capacitors,
4824492,Method for producing a precipitation hardenable martensitic low alloy steel forging,
4823113,Glassy alloy identification marker,
4822715,Aluminum alloy supporter for lithographic printing plate,
4822712,Reduction of selenium alloy fractionation,
4822562,Copper alloy excellent in migration resistance,
4822561,Aluminum bearing alloy,
4822560,Copper alloy and method of manufacturing the same,
4822415,"Thermal spray iron alloy powder containing molybdenum, copper and boron",
4822414,Al-based alloy comprising Cr and Ti,
4821694,Hypereutectic aluminum-silicon casting alloy,
4821554,Press forging of molybdenum or molybdenum alloy parts,
4821134,Magnetic alloy R/W head with centrally pinched and end slotted core,
4820678,Method for preparing rare earth metal catalysts with honeycomb-like alloy supports and catalysts obtained thereby,
4820488,Aluminum alloy,
4820487,Gold alloy,
4820486,Low alloy steel having good stress corrosion cracking resistance,
4820485,"Method of producing an iron-, cobalt- and nickel-base alloy having low contents of sulphur, oxygen and nitrogen",
4820484,Method in producing a molding of an iron alloy,
4820481,Method for the continuous fabrication of hydrogen storage alloy negative electrodes,
4820360,Method for developing ultrafine microstructures in titanium alloy castings,
4820354,Method for producing a workpiece from a corrosion- and oxidation-resistant Ni/Al/Si/B alloy,
4820324,Glass corrosion resistant cobalt-based alloy having high strength,
4820146,Super hard alloy dies for extruding honeycomb structures,
4819718,Heat exchanging unit with a hydrogen adsorption alloy,
4819717,Heat exchanging unit with a hydrogen adsorption alloy,
4818625,Boron-silicon-hydrogen alloy films,
4818487,Aluminum bearing alloy,
4818484,"Austenitic, non-magnetic, stainless steel alloy",
4818483,Alloy resistant to seawater and corrosive process fluids,
4818351,Method for the surface treatment of an iron or iron alloy article,
4818308,Aluminum alloy and method for producing the same,
4818307,Dispersion strengthened copper-base alloy,
4818306,Monocrystalline alloy with a nickel base matrix,
4818304,Method of increasing magnetostrictive response of rare earth-iron alloy rods,
4818301,"Process for producing large section, large mass forged sleeves from large diameter ingots of alloy 625 and from hot isostatically pressed preforms of alloy 625 powder",
4816949,Magnetic head containing amorphous alloy and crystallizable glass,
4816347,Hybrid titanium alloy matrix composites,
4816218,Process of using an iron-nickel-chromium alloy in an oxidation attacking environment,
4816217,High-strength alloy for industrial vessels,
4816087,Process for producing duplex mode recrystallized high strength aluminum-lithium alloy products with high fracture toughness and method of making the same,
4815953,"Seizure-free vane rotary compressor with vanes, rotor and side blocks made of Si-Al alloy material",
4814140,Galling resistant austenitic stainless steel alloy,
4814049,Plating bath composition for copper-tin-zinc alloy,
4814048,Pb alloy insoluble anode and continuous electroplating of zinc using it,
4814024,Nickel base alloy glass shaping member,
4814022,Weldable aluminum alloy workable into sheet form and process for its production,
